Age,LDTAcc,RT,AttentionCheck,AgeOfMachine,TrialN,ProbeType,ProbePosition,SubjectFreq,SubjectLength,Browser,ProbeFrequency,ProbeCosine,ProbeWord,HasCheck,StimType,StimID,ReadingTime,Condition,OS,fullSentence,Participant
31,1,1081.2,0,2,2,UNREL,AFTER-V,3.651952199,6,Chrome,4.189781038,0.169582503,TRIBE,0,experimental,22,1932.8000000000002,UNREL-AFTER-V,MacIntel,"Given the change in the law, every barber clearly should have heeded the advice, suggests The Times.",1
31,1,805.9,0,2,5,REL,AFTER-V,4.257983625,9,Chrome,4.604307777,0.65194005,TOWER,0,experimental,51,1566.7,REL-AFTER-V,MacIntel,"Given the change in the law, every architect definitely should have extended the deadline, says The BBC.",1
31,1,1187.3,0,2,6,NONCE,AFTER-VP,4.189108375,6,Chrome,NA,NA,GLIRM,0,experimental,32,2700.4,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every farmer definitely should have condemned the behaviour, claims The Sun.",1
31,1,1032.5,0,2,9,NONCE,AFTER-VP,4.438372257,6,Chrome,NA,NA,GELPS,0,experimental,56,2367.1000000000004,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every singer clearly should have sued the organiser, says The Sun.",1
31,1,866.4,0,2,10,REL,AFTER-VP,4.33783738,9,Chrome,5.230293913,0.359043466,PAPER,0,experimental,30,2316.3,REL-AFTER-VP,MacIntel,"Given the change in the law, every publisher certainly should have defined the term, claims The Guardian.",1
31,1,994.1,0,2,11,NONCE,AFTER-VP,4.104575844,10,Chrome,NA,NA,QUIBS,0,experimental,2,2433.5,NONCE-AFTER-VP,MacIntel,"Given the change in the law, every politician obviously should have upheld the change, reports The Sun.",1
31,1,847,0,2,12,REL,AFTER-V,5.294762043,8,Chrome,5.588746199,0.120705124,POWER,0,experimental,3,1884.4,REL-AFTER-V,MacIntel,"Given the change in the law, every director definitely should have reconsidered the offer, reports The BBC.",1
31,1,999.7,1,2,13,REL,AFTER-VP,4.223689768,7,Chrome,4.176312386,0.141363369,GRAPH,1,experimental,48,2367.9,REL-AFTER-VP,MacIntel,"Given the change in the law, every analyst obviously should have acknowledged the failing, mentions The Guardian.",1
31,1,929.3000000000001,0,2,17,NONCE,AFTER-V,3.563555912,8,Chrome,NA,NA,NERNS,0,experimental,59,1416.5,NONCE-AFTER-V,MacIntel,"Given the change in the law, every commuter definitely should have reported the matter, says The Independent.",1
31,1,1019.8000000000001,1,2,18,UNREL,AFTER-V,5.075778593,7,Chrome,3.413519289,0.055355864,STUMP,1,experimental,10,1416.6000000000001,UNREL-AFTER-V,MacIntel,"Given the change in the law, every manager obviously should have refuted the rise, reports The Times.",1
